COMM_NAME,Date,WPI
Coconut,1994-11,78.5
Papaya,1994-11,109.6
Grapes,1994-11,108.3
PINEAPPLE,1994-11,89.9
GUAVA,1994-11,149
LITCHI,1994-11,9999.9
SAPOTA,1994-11,164.6
Rice,1994-12,112.5
Wheat,1994-12,112.6
Jowar,1994-12,142.1
Bajra,1994-12,137.4
Maize,1994-12,144.9
Barley,1994-12,150
Ragi,1994-12,117.3
Gram,1994-12,114.2
Arhar,1994-12,107.9
Moong,1994-12,126.9
Masur,1994-12,151
Urad,1994-12,201.4
Potato,1994-12,100.8
Sweet Potato,1994-12,104.2
Onion,1994-12,85.4
Tapioca,1994-12,97.1
Ginger,1994-12,183.6
Peas,1994-12,79.4
Tomato,1994-12,93.9
Cauliflower,1994-12,39.1
BRINJAL,1994-12,163.4
OKRA,1994-12,176.8
CABBAGE,1994-12,64.8
Banana,1994-12,88.7
Mango,1994-12,9999.9
apple,1994-12,142.1
Orange,1994-12,99.4
Cashewnuts,1994-12,101.1
Coconut,1994-12,91.4
Papaya,1994-12,98.3
Grapes,1994-12,117.1
PINEAPPLE,1994-12,101.6
GUAVA,1994-12,112.1
LITCHI,1994-12,9999.9
SAPOTA,1994-12,111
Rice,1995-01,111.4
Wheat,1995-01,113.3
Jowar,1995-01,164.5
Bajra,1995-01,136
Maize,1995-01,150.3
Barley,1995-01,144.2
Ragi,1995-01,119.6
Gram,1995-01,105.1
Arhar,1995-01,120.8
Moong,1995-01,130.9
Masur,1995-01,148.3
Urad,1995-01,201.1
Potato,1995-01,70.6
Sweet Potato,1995-01,143.4
Onion,1995-01,70.5
Tapioca,1995-01,93.6
Ginger,1995-01,182.9
Peas,1995-01,71.5
Tomato,1995-01,96.4
Cauliflower,1995-01,56.3
BRINJAL,1995-01,157.3
OKRA,1995-01,212.3
CABBAGE,1995-01,54.5
Banana,1995-01,90.3
Mango,1995-01,9999.9
apple,1995-01,152.6
Orange,1995-01,113.8
Cashewnuts,1995-01,100.6
Coconut,1995-01,97.8
Papaya,1995-01,89.6
Grapes,1995-01,111.8
PINEAPPLE,1995-01,103.7
GUAVA,1995-01,114.3
LITCHI,1995-01,9999.9
SAPOTA,1995-01,103.7
Rice,1995-02,112.7
Wheat,1995-02,113.6
Jowar,1995-02,168.1
Bajra,1995-02,140.9
Maize,1995-02,155.6
Barley,1995-02,143.9
Ragi,1995-02,128.1
Gram,1995-02,97.5
Arhar,1995-02,123.9
Moong,1995-02,132.8
Masur,1995-02,146.6
Urad,1995-02,196.9
Potato,1995-02,65.2
Sweet Potato,1995-02,187
Onion,1995-02,50.8
Tapioca,1995-02,100.5
Ginger,1995-02,188.3
Peas,1995-02,64.3
Tomato,1995-02,79.7
Cauliflower,1995-02,78.8
BRINJAL,1995-02,148.2
OKRA,1995-02,221.1
CABBAGE,1995-02,51.4
Banana,1995-02,96.4
Mango,1995-02,9999.9
apple,1995-02,166.4
Orange,1995-02,100.7
Cashewnuts,1995-02,103.1
Coconut,1995-02,96
Papaya,1995-02,94.9
Grapes,1995-02,101.9
PINEAPPLE,1995-02,120.7
GUAVA,1995-02,121
LITCHI,1995-02,9999.9
SAPOTA,1995-02,102.4
Rice,1995-03,112.8
Wheat,1995-03,112.9
Jowar,1995-03,173.9
Bajra,1995-03,140
Maize,1995-03,154.8
Barley,1995-03,136.5
Ragi,1995-03,127.8
Gram,1995-03,89.9
Arhar,1995-03,117.2
Moong,1995-03,129.5
Masur,1995-03,138.4
Urad,1995-03,194.7
Potato,1995-03,69.2
Sweet Potato,1995-03,189.7
Onion,1995-03,48
Tapioca,1995-03,101.7
Ginger,1995-03,210.7
Peas,1995-03,73.2
Tomato,1995-03,76
Cauliflower,1995-03,114.9
BRINJAL,1995-03,139.3
OKRA,1995-03,244.6
CABBAGE,1995-03,54.9
Banana,1995-03,102.3
Mango,1995-03,9999.9
apple,1995-03,166.4
Orange,1995-03,92.3
Cashewnuts,1995-03,99.7
Coconut,1995-03,94.9
Papaya,1995-03,96.6
Grapes,1995-03,103
PINEAPPLE,1995-03,117.3
GUAVA,1995-03,121
LITCHI,1995-03,9999.9
SAPOTA,1995-03,89.9
Rice,1995-04,113.3
Wheat,1995-04,109.6
Jowar,1995-04,177.8
Bajra,1995-04,147.2
Maize,1995-04,153.3
Barley,1995-04,123.2
Ragi,1995-04,130.7
Gram,1995-04,85.6
Arhar,1995-04,137.3
Moong,1995-04,128.9
Masur,1995-04,132.6
Urad,1995-04,213.8
Potato,1995-04,86.2
Sweet Potato,1995-04,165.5
Onion,1995-04,51.2
Tapioca,1995-04,103.2
Ginger,1995-04,234.5
Peas,1995-04,9999.9
Tomato,1995-04,9999.9
Cauliflower,1995-04,9999.9
BRINJAL,1995-04,132.2
OKRA,1995-04,130.2
CABBAGE,1995-04,62.1
Banana,1995-04,117.7
Mango,1995-04,175.2
apple,1995-04,156
Orange,1995-04,116.2
Cashewnuts,1995-04,98.4
Coconut,1995-04,92.5
Papaya,1995-04,94.5
Grapes,1995-04,9999.9
PINEAPPLE,1995-04,132
GUAVA,1995-04,63.3
LITCHI,1995-04,9999.9
SAPOTA,1995-04,91.9
Rice,1995-05,115.1
Wheat,1995-05,107.5
Jowar,1995-05,185.8
Bajra,1995-05,144.3
Maize,1995-05,148.4
Barley,1995-05,118.7
Ragi,1995-05,134.7
Gram,1995-05,82.4
Arhar,1995-05,145.9
Moong,1995-05,129
Masur,1995-05,139.7
Urad,1995-05,220.1
Potato,1995-05,121.6
Sweet Potato,1995-05,148.7
Onion,1995-05,56.3
Tapioca,1995-05,107.4
Ginger,1995-05,258.2
Peas,1995-05,9999.9
Tomato,1995-05,9999.9
Cauliflower,1995-05,9999.9
BRINJAL,1995-05,105.7
OKRA,1995-05,123.7
CABBAGE,1995-05,95.3
Banana,1995-05,144.1
Mango,1995-05,109.7
apple,1995-05,166.9
Orange,1995-05,135.9
Cashewnuts,1995-05,97.8
Coconut,1995-05,90.4
Papaya,1995-05,114.6
Grapes,1995-05,9999.9
PINEAPPLE,1995-05,139.6
GUAVA,1995-05,60.5
LITCHI,1995-05,9999.9
SAPOTA,1995-05,97.5
Rice,1995-06,117.2
Wheat,1995-06,106.8
Jowar,1995-06,183.5
Bajra,1995-06,136.4
Maize,1995-06,148.4
Barley,1995-06,107.3
Ragi,1995-06,135.2
Gram,1995-06,78.4
Arhar,1995-06,161.1
Moong,1995-06,130.2
Masur,1995-06,152.1
Urad,1995-06,229.9
Potato,1995-06,138.3
Sweet Potato,1995-06,153.3
Onion,1995-06,71.3
Tapioca,1995-06,106.8
Ginger,1995-06,248.3
Peas,1995-06,9999.9
Tomato,1995-06,9999.9
Cauliflower,1995-06,9999.9
BRINJAL,1995-06,154.3
OKRA,1995-06,133
CABBAGE,1995-06,153.1
Banana,1995-06,138
Mango,1995-06,125.5
apple,1995-06,9999.9
Orange,1995-06,134.1
Cashewnuts,1995-06,99.8
Coconut,1995-06,84.2
Papaya,1995-06,129.8
Grapes,1995-06,9999.9
PINEAPPLE,1995-06,145.8
GUAVA,1995-06,64.6
LITCHI,1995-06,119.9
SAPOTA,1995-06,122.8
Rice,1995-07,117.6
Wheat,1995-07,108.6
Jowar,1995-07,192.1
Bajra,1995-07,145
Maize,1995-07,157.9
Barley,1995-07,105
Ragi,1995-07,139.6
Gram,1995-07,78.7
Arhar,1995-07,168.3
Moong,1995-07,133
Masur,1995-07,159.8
Urad,1995-07,249.9
Potato,1995-07,155.5
Sweet Potato,1995-07,158.2
Onion,1995-07,97
Tapioca,1995-07,109.3
Ginger,1995-07,264
Peas,1995-07,9999.9
Tomato,1995-07,9999.9
Cauliflower,1995-07,9999.9
BRINJAL,1995-07,150
OKRA,1995-07,141.3
CABBAGE,1995-07,179.5
Banana,1995-07,131
Mango,1995-07,105
apple,1995-07,9999.9
Orange,1995-07,119.4
Cashewnuts,1995-07,103.8
Coconut,1995-07,86.6
Papaya,1995-07,129.6
Grapes,1995-07,9999.9
PINEAPPLE,1995-07,111.3
GUAVA,1995-07,88.2
LITCHI,1995-07,9999.9
SAPOTA,1995-07,104.6
Rice,1995-08,118.4
Wheat,1995-08,110.5
Jowar,1995-08,181.7
Bajra,1995-08,148.3
Maize,1995-08,156
Barley,1995-08,105.9
Ragi,1995-08,149.8
Gram,1995-08,76.5
Arhar,1995-08,160.9
Moong,1995-08,134.3
Masur,1995-08,161.4
Urad,1995-08,253.2
Potato,1995-08,157.7
Sweet Potato,1995-08,168.8
Onion,1995-08,118.4
Tapioca,1995-08,112.4
Ginger,1995-08,260
Peas,1995-08,9999.9
Tomato,1995-08,168
Cauliflower,1995-08,9999.9
BRINJAL,1995-08,162.8
OKRA,1995-08,113.2
CABBAGE,1995-08,160.6
Banana,1995-08,133.2
Mango,1995-08,9999.9
apple,1995-08,9999.9
Orange,1995-08,121.8
Cashewnuts,1995-08,105.8
Coconut,1995-08,86.7
Papaya,1995-08,101.6
Grapes,1995-08,9999.9
PINEAPPLE,1995-08,110.5
GUAVA,1995-08,89.3
LITCHI,1995-08,9999.9
SAPOTA,1995-08,98
Rice,1995-09,118.9
Wheat,1995-09,111.1
Jowar,1995-09,182.7
Bajra,1995-09,145.5
Maize,1995-09,152.6
Barley,1995-09,108.9
Ragi,1995-09,146.5
Gram,1995-09,74.7
Arhar,1995-09,163.4
Moong,1995-09,134.7
Masur,1995-09,165.7
Urad,1995-09,224.2
Potato,1995-09,181.8
